N,Rho,Lambda,MC,MackeyGlass,Rank,Separation
100,3.5,-8.087753540392338,0.0006154719661816746,0.0,0.01,
100,5.0,-37.17391752314578,0.08706966060348177,0.0,0.05,
100,8.0,-37.970451811056925,2.262605013744539e-31,0.0,0.01,
100,0.5,-0.11849373897493953,0.06969489739425104,-0.7350542029919831,1.0,182.3801132961617
100,6.5,-37.77155379949716,2.769241521717976e-31,0.0,0.01,
100,2.0,-0.11847801278100761,0.09439001777232588,-0.7114202163443408,0.97,158.8361678440364
200,6.5,-38.573061909938026,2.542604974441156e-31,0.0,0.005,
200,5.0,-37.94726916450138,2.9598020706443173e-31,0.0,0.005,
200,8.0,-38.79218622604423,1.537380258124989e-31,0.0,0.005,
200,3.5,-37.958971893465794,0.10794510065754168,0.0,0.09,
200,2.0,-0.13480115010445254,0.08171136767195286,-8.941049801030783,0.975,330.6353292978015
200,0.5,-0.1304751020813946,0.08496121132763235,-18.979585470244267,1.0,303.3326470043452
500,2.0,-0.16449329113713884,3.578824447758427e-31,-682.3819490709443,0.002,487.34413389040697
500,0.5,-0.14392364086405254,0.058027191559422285,-94.889347048921,1.0,360.8154561172655
500,6.5,-38.687940252417135,2.4303980895219475e-31,0.0,0.002,
500,5.0,-38.77086231035486,6.987118250816687e-31,0.0,0.002,
500,3.5,-38.344302285615825,1.5668215728450143e-31,0.0,0.002,
500,8.0,-38.976319338992354,6.864579523063605e-31,0.0,0.002,
1000,3.5,-38.26007410621085,3.431253594917586e-31,0.0,0.001,
1000,6.5,-38.95821965587151,1.7215303038443589e-31,0.0,0.001,
1000,2.0,-37.96418380108419,2.98616712645849e-31,0.0,0.001,
1000,5.0,-38.766377716962616,3.8507755271376934e-31,0.0,0.001,
1000,8.0,-38.97225491207334,3.3200714156016483e-31,0.0,0.001,
1500,2.0,-38.36057746561541,3.297108229756427e-31,0.0,0.0006666666666666666,
1500,3.5,-38.45060583580415,4.83295016802595e-08,0.0,0.0006666666666666666,
1500,5.0,-38.506415485485384,3.644088657840407e-31,0.0,0.0006666666666666666,
1500,8.0,-38.764248377727334,0.00157758154927411,0.0,0.0006666666666666666,
1500,6.5,-38.9315330119399,1.2525428062970843e-31,0.0,0.0006666666666666666,
2000,2.0,-0.14991712951214103,1.418411974143114e-07,0.0,0.0005,278.7452825979498
1000,0.5,-0.10702684525106035,0.06126725869046197,-540.5171403314467,1.0,608.9112928881426
2000,3.5,-38.56224347322616,3.6452768908055538e-31,0.0,0.0005,
2000,5.0,-38.756335743323106,3.888733226309311e-31,0.0,0.0005,
2000,8.0,-38.94808806461172,2.020261561842875e-31,0.0,0.0005,
2000,6.5,-38.960387312596396,0.0034879252070921262,0.0,0.0005,
1500,0.5,-0.13661267219453527,0.03540842592049964,-309.8932993043248,0.9993333333333333,696.0041545999504
2000,0.5,-0.09273482086850646,0.032307560994398285,-117.3345853084653,0.7495,791.3079497410095
